,I,dhsid,year,countries,img_path,labels
0,0,IA-2015-7#-00190003,2015,India,"499392     IA/IA-2015-7#-00190003/488024792611712.jpeg
499338     IA/IA-2015-7#-00190003/364375678317221.jpeg
499354     IA/IA-2015-7#-00190003/211739737093358.jpeg
499324     IA/IA-2015-7#-00190003/490557758957827.jpeg
499340     IA/IA-2015-7#-00190003/214750363408966.jpeg
499309    IA/IA-2015-7#-00190003/2399420866868948.jpeg
499468     IA/IA-2015-7#-00190003/974641560009439.jpeg
499413     IA/IA-2015-7#-00190003/196934685579057.jpeg
499325     IA/IA-2015-7#-00190003/476852096978343.jpeg
499393    IA/IA-2015-7#-00190003/1022660404930892.jpeg
499307    IA/IA-2015-7#-00190003/1213761492372811.jpeg
499414     IA/IA-2015-7#-00190003/141671811258060.jpeg
499382     IA/IA-2015-7#-00190003/809192229718251.jpeg
499315     IA/IA-2015-7#-00190003/942218956567290.jpeg
499445    IA/IA-2015-7#-00190003/2590823154395125.jpeg
499459     IA/IA-2015-7#-00190003/859694227948901.jpeg
499407    IA/IA-2015-7#-00190003/1206711966452009.jpeg
499396     IA/IA-2015-7#-00190003/492195955259854.jpeg
499429    IA/IA-2015-7#-00190003/1241172846285544.jpeg
499322     IA/IA-2015-7#-00190003/485195576005964.jpeg
Name: img_path, dtype: object",0.5326072457789248
1,1,SL-2013-6#-00000120,2013,Sierra Leone,"1013630    SL/SL-2013-6#-00000120/2826123494293234.jpeg
1012338    SL/SL-2013-6#-00000120/1221025241664541.jpeg
1013633    SL/SL-2013-6#-00000120/1218649191928431.jpeg
1013629    SL/SL-2013-6#-00000120/3902710156502814.jpeg
1013634    SL/SL-2013-6#-00000120/3272574196302503.jpeg
1013627    SL/SL-2013-6#-00000120/1365724793813335.jpeg
1013628    SL/SL-2013-6#-00000120/4237227026298187.jpeg
1012341    SL/SL-2013-6#-00000120/1530098817190916.jpeg
1012344    SL/SL-2013-6#-00000120/3034965760064554.jpeg
1013635    SL/SL-2013-6#-00000120/2945972185717609.jpeg
1013626    SL/SL-2013-6#-00000120/1227414124369992.jpeg
1012336    SL/SL-2013-6#-00000120/1935827973247879.jpeg
1012337    SL/SL-2013-6#-00000120/2854265634823767.jpeg
1013632    SL/SL-2013-6#-00000120/1212199002576079.jpeg
1012335    SL/SL-2013-6#-00000120/1850131045155420.jpeg
1013636    SL/SL-2013-6#-00000120/1930173143813323.jpeg
1012339    SL/SL-2013-6#-00000120/3794477147342246.jpeg
1012340    SL/SL-2013-6#-00000120/4092916050802909.jpeg
1012343    SL/SL-2013-6#-00000120/2068486183285826.jpeg
1012345    SL/SL-2013-6#-00000120/3728004900629975.jpeg
Name: img_path, dtype: object",-0.12692588173142988
2,2,KE-2014-7#-00001611,2014,Kenya,"684232     KE/KE-2014-7#-00001611/241895641054599.jpeg
684145    KE/KE-2014-7#-00001611/4000440250044082.jpeg
684188     KE/KE-2014-7#-00001611/473762550507464.jpeg
684165     KE/KE-2014-7#-00001611/471423814166177.jpeg
684200     KE/KE-2014-7#-00001611/469363840948226.jpeg
684168     KE/KE-2014-7#-00001611/305127547677823.jpeg
684172     KE/KE-2014-7#-00001611/475380423802107.jpeg
684206     KE/KE-2014-7#-00001611/979416872862311.jpeg
684197    KE/KE-2014-7#-00001611/1163149417524129.jpeg
684153     KE/KE-2014-7#-00001611/511736583539283.jpeg
684216    KE/KE-2014-7#-00001611/1772197642951672.jpeg
684228     KE/KE-2014-7#-00001611/176493197674241.jpeg
684184     KE/KE-2014-7#-00001611/175702757781800.jpeg
684181     KE/KE-2014-7#-00001611/468021104403545.jpeg
684175     KE/KE-2014-7#-00001611/131220138945309.jpeg
684222     KE/KE-2014-7#-00001611/811430162831069.jpeg
684239     KE/KE-2014-7#-00001611/210235870602514.jpeg
684215     KE/KE-2014-7#-00001611/320513319464780.jpeg
684234     KE/KE-2014-7#-00001611/136172161821898.jpeg
684193     KE/KE-2014-7#-00001611/465690018001632.jpeg
Name: img_path, dtype: object",0.1556891322784229
3,3,SN-2017-7Z-00000220,2017,Senegal,"1026805     SN/SN-2017-7Z-00000220/530392264789095.jpeg
1026839    SN/SN-2017-7Z-00000220/2890076727986453.jpeg
1026749    SN/SN-2017-7Z-00000220/1014616555737442.jpeg
1026857     SN/SN-2017-7Z-00000220/461800221714158.jpeg
1026936     SN/SN-2017-7Z-00000220/468556274433097.jpeg
1026855     SN/SN-2017-7Z-00000220/468575687800592.jpeg
1026786     SN/SN-2017-7Z-00000220/309443130533204.jpeg
1026750     SN/SN-2017-7Z-00000220/294293655562459.jpeg
1026820    SN/SN-2017-7Z-00000220/1190416778076509.jpeg
1026974     SN/SN-2017-7Z-00000220/454559992442850.jpeg
1026753     SN/SN-2017-7Z-00000220/502010037644085.jpeg
1026798     SN/SN-2017-7Z-00000220/217238050209111.jpeg
1026972    SN/SN-2017-7Z-00000220/3609487865821888.jpeg
1026967     SN/SN-2017-7Z-00000220/111683994302487.jpeg
1027001     SN/SN-2017-7Z-00000220/486292375904141.jpeg
1026851    SN/SN-2017-7Z-00000220/1053905405101194.jpeg
1026854     SN/SN-2017-7Z-00000220/466120728002148.jpeg
1026971    SN/SN-2017-7Z-00000220/1234082917045547.jpeg
1026754     SN/SN-2017-7Z-00000220/259878179267078.jpeg
1026896     SN/SN-2017-7Z-00000220/528587628150598.jpeg
Name: img_path, dtype: object",0.3239199274879363
4,4,UG-2016-7Z-00000144,2016,Uganda,"1096156     UG/UG-2016-7Z-00000144/390075542013002.jpeg
1095924     UG/UG-2016-7Z-00000144/482056439810215.jpeg
1095995     UG/UG-2016-7Z-00000144/128777372529380.jpeg
1095902     UG/UG-2016-7Z-00000144/460912475013541.jpeg
1096149     UG/UG-2016-7Z-00000144/310410380459066.jpeg
1096000     UG/UG-2016-7Z-00000144/490050082410017.jpeg
1095904     UG/UG-2016-7Z-00000144/510917096607245.jpeg
1095994     UG/UG-2016-7Z-00000144/209803667312455.jpeg
1095932    UG/UG-2016-7Z-00000144/1137712160024807.jpeg
1096177     UG/UG-2016-7Z-00000144/163092992409035.jpeg
1095934     UG/UG-2016-7Z-00000144/160756342641868.jpeg
1096004     UG/UG-2016-7Z-00000144/612149093517207.jpeg
1096191     UG/UG-2016-7Z-00000144/514756166199322.jpeg
1095989    UG/UG-2016-7Z-00000144/1119395735193825.jpeg
1096002     UG/UG-2016-7Z-00000144/394503749016381.jpeg
1095930     UG/UG-2016-7Z-00000144/506590873700131.jpeg
1096046     UG/UG-2016-7Z-00000144/372621324060593.jpeg
1096166     UG/UG-2016-7Z-00000144/182478483737262.jpeg
1095992    UG/UG-2016-7Z-00000144/1862323907267753.jpeg
1095927     UG/UG-2016-7Z-00000144/294620372226708.jpeg
Name: img_path, dtype: object",0.2502955077590236
5,5,TG-2017-7#-00000082,2017,Togo,"1037594     TG/TG-2017-7#-00000082/521762249203748.jpeg
1037591     TG/TG-2017-7#-00000082/454898039105024.jpeg
1037582     TG/TG-2017-7#-00000082/473882973877759.jpeg
1037585     TG/TG-2017-7#-00000082/312663803568691.jpeg
1037593     TG/TG-2017-7#-00000082/503850164307387.jpeg
1037579     TG/TG-2017-7#-00000082/519351405905977.jpeg
1037571     TG/TG-2017-7#-00000082/157660079641179.jpeg
1037589     TG/TG-2017-7#-00000082/506797404035213.jpeg
1037587     TG/TG-2017-7#-00000082/461619665115911.jpeg
1037601     TG/TG-2017-7#-00000082/805517033703254.jpeg
1037580    TG/TG-2017-7#-00000082/1112064205927495.jpeg
1037572     TG/TG-2017-7#-00000082/964086630998226.jpeg
1037597    TG/TG-2017-7#-00000082/4063284093729152.jpeg
1037592    TG/TG-2017-7#-00000082/2932881463653891.jpeg
1037577     TG/TG-2017-7#-00000082/478827533541809.jpeg
1037596     TG/TG-2017-7#-00000082/340203811007654.jpeg
1037581    TG/TG-2017-7#-00000082/2978220862503748.jpeg
1037588     TG/TG-2017-7#-00000082/136613951745338.jpeg
1037573     TG/TG-2017-7#-00000082/937293173693959.jpeg
1037590     TG/TG-2017-7#-00000082/820574505506143.jpeg
Name: img_path, dtype: object",0.011901206942070459
6,6,NG-2018-7Z-00000928,2018,Nigeria,"842312     NG/NG-2018-7Z-00000928/289342706194093.jpeg
842271    NG/NG-2018-7Z-00000928/1465216713822004.jpeg
842264     NG/NG-2018-7Z-00000928/847826519484997.jpeg
842362     NG/NG-2018-7Z-00000928/788383285134117.jpeg
842270    NG/NG-2018-7Z-00000928/2978665102422528.jpeg
842364     NG/NG-2018-7Z-00000928/481816606385778.jpeg
842284     NG/NG-2018-7Z-00000928/217102333231038.jpeg
842281     NG/NG-2018-7Z-00000928/346669810126244.jpeg
842283    NG/NG-2018-7Z-00000928/1497866093882826.jpeg
842269    NG/NG-2018-7Z-00000928/2290698384408187.jpeg
842354     NG/NG-2018-7Z-00000928/325907748948750.jpeg
842263     NG/NG-2018-7Z-00000928/492037828585602.jpeg
842258     NG/NG-2018-7Z-00000928/522310178798650.jpeg
842282     NG/NG-2018-7Z-00000928/463319531566333.jpeg
842368    NG/NG-2018-7Z-00000928/2017863371694817.jpeg
842276     NG/NG-2018-7Z-00000928/519204545924624.jpeg
842290     NG/NG-2018-7Z-00000928/252338310006924.jpeg
842323     NG/NG-2018-7Z-00000928/140716444650533.jpeg
842316     NG/NG-2018-7Z-00000928/243244164219705.jpeg
842319     NG/NG-2018-7Z-00000928/977998959675752.jpeg
Name: img_path, dtype: object",0.26467017349910327
7,7,SL-2013-6#-00000396,2013,Sierra Leone,"999387    SL/SL-2013-6#-00000396/2860391320868081.jpeg
999397     SL/SL-2013-6#-00000396/894668304708036.jpeg
999388    SL/SL-2013-6#-00000396/1845089298989649.jpeg
982752    SL/SL-2013-6#-00000396/3952568304850305.jpeg
982750    SL/SL-2013-6#-00000396/1611234819066303.jpeg
999391    SL/SL-2013-6#-00000396/1431009763898624.jpeg
982769     SL/SL-2013-6#-00000396/923490615109488.jpeg
982748    SL/SL-2013-6#-00000396/1324017237992624.jpeg
999403     SL/SL-2013-6#-00000396/866820150714991.jpeg
999378    SL/SL-2013-6#-00000396/1860975137414302.jpeg
999394     SL/SL-2013-6#-00000396/954431448643634.jpeg
982753    SL/SL-2013-6#-00000396/4034331673327173.jpeg
982767     SL/SL-2013-6#-00000396/945818572898006.jpeg
982770     SL/SL-2013-6#-00000396/936133753817179.jpeg
999386     SL/SL-2013-6#-00000396/816020135690337.jpeg
982756    SL/SL-2013-6#-00000396/2953254848253755.jpeg
999395    SL/SL-2013-6#-00000396/1029540794244978.jpeg
982766     SL/SL-2013-6#-00000396/894011854494947.jpeg
982759     SL/SL-2013-6#-00000396/805755860066053.jpeg
982751    SL/SL-2013-6#-00000396/3968112219954135.jpeg
Name: img_path, dtype: object",0.36430451402799624
8,8,LS-2014-7#-00000400,2014,Lesotho,"772474    LS/LS-2014-7#-00000400/3881738861921964.jpeg
772441    LS/LS-2014-7#-00000400/1897693357063573.jpeg
772477    LS/LS-2014-7#-00000400/1295435544242322.jpeg
772466    LS/LS-2014-7#-00000400/3745236582252222.jpeg
772445    LS/LS-2014-7#-00000400/2761865184074196.jpeg
772475    LS/LS-2014-7#-00000400/1409085639452359.jpeg
772463    LS/LS-2014-7#-00000400/3807056749411699.jpeg
772458    LS/LS-2014-7#-00000400/3906451566113184.jpeg
772435    LS/LS-2014-7#-00000400/2563336970642807.jpeg
772460    LS/LS-2014-7#-00000400/4123547881046496.jpeg
772448    LS/LS-2014-7#-00000400/3011183865873648.jpeg
772428    LS/LS-2014-7#-00000400/1448788788786086.jpeg
772478    LS/LS-2014-7#-00000400/1187958434986879.jpeg
772439    LS/LS-2014-7#-00000400/1758292547706396.jpeg
772459    LS/LS-2014-7#-00000400/4038064126284757.jpeg
772438    LS/LS-2014-7#-00000400/3917539001663110.jpeg
772469    LS/LS-2014-7#-00000400/1366661353720161.jpeg
772465    LS/LS-2014-7#-00000400/3456602674660905.jpeg
772437    LS/LS-2014-7#-00000400/1893820550781642.jpeg
772480    LS/LS-2014-7#-00000400/1230685374057684.jpeg
Name: img_path, dtype: object",-0.2140834353787326
9,9,PK-2017-7#-00000309,2017,Pakistan,"941599    PK/PK-2017-7#-00000309/4024451914288801.jpeg
941634    PK/PK-2017-7#-00000309/1431697860512534.jpeg
941578    PK/PK-2017-7#-00000309/4432583386769818.jpeg
951241    PK/PK-2017-7#-00000309/2888058504792688.jpeg
941614    PK/PK-2017-7#-00000309/3968443186577181.jpeg
951221    PK/PK-2017-7#-00000309/1430576337288161.jpeg
941649    PK/PK-2017-7#-00000309/1971951086290928.jpeg
941583    PK/PK-2017-7#-00000309/1972549366229656.jpeg
951229    PK/PK-2017-7#-00000309/2505971989548635.jpeg
951220    PK/PK-2017-7#-00000309/1199428090488488.jpeg
941639    PK/PK-2017-7#-00000309/1751064261762111.jpeg
951231    PK/PK-2017-7#-00000309/4056029314472987.jpeg
941564    PK/PK-2017-7#-00000309/1431340910540427.jpeg
941560    PK/PK-2017-7#-00000309/1386434191714320.jpeg
941625    PK/PK-2017-7#-00000309/1387644131634622.jpeg
951242    PK/PK-2017-7#-00000309/3700302526733894.jpeg
951258    PK/PK-2017-7#-00000309/3999992016761406.jpeg
951248    PK/PK-2017-7#-00000309/3927035780714723.jpeg
941651    PK/PK-2017-7#-00000309/4162633793759708.jpeg
951227    PK/PK-2017-7#-00000309/1273936633120051.jpeg
Name: img_path, dtype: object",0.5476800098761083
